,Predictions
0,22.760721
1,22.643673
2,22.565237
3,22.185839
4,22.579765
5,22.499943
6,22.441563
7,22.145523
8,22.847235
9,23.135027
10,23.18734
11,22.905546
12,23.196262
13,23.134542
14,23.16927
15,23.122986
16,23.405897
17,23.51925
18,23.767107
19,23.707123
20,24.06857
21,23.451254
22,23.944088
23,24.217804
24,24.741455
25,24.657385
26,24.941935
27,24.470774
28,24.624956
29,24.46393
30,24.374872
31,24.013212
32,23.707142
33,23.57575
34,23.764141
35,23.798716
36,23.713552
37,23.69611
38,23.764841
39,24.07148
40,24.286911
41,24.196373
42,24.412148
43,25.174055
44,28.154013
45,28.154013
46,28.154013
47,28.154013
48,28.154013
49,28.154013
50,28.154013
51,28.154013
52,28.154013
53,28.282993
54,25.763647
55,25.690687
56,24.983633
57,24.741669
58,26.043043
59,26.018534
60,25.886364
61,24.94718
62,25.987286
63,26.842886
64,26.84971
65,26.093378
66,25.824394
67,26.097204
68,26.28936
69,26.520123
70,27.198399
71,26.44766
72,25.94215
73,25.385744
74,26.436712
75,26.939838
76,26.775
77,25.822838
78,27.150122
79,27.569721
80,27.866789
81,26.90273
82,27.165154
83,27.017086
84,26.54716
85,26.515133
86,27.247965
87,27.717594
88,27.514498
89,27.162455
90,27.345507
91,27.440502
92,26.669836
93,27.235975
94,27.276245
95,26.660372
96,26.168453
97,26.075403
98,25.560434
99,25.481808
100,25.297255
101,25.803013
102,25.795107
103,26.275757
104,26.4415
105,26.68854
106,26.485586
107,26.763542
108,27.16328
109,26.717611
110,26.77039
111,26.805378
112,26.927193
113,27.053137
114,27.019278
115,27.238325
116,27.313435
117,27.203308
118,27.283976
119,27.818094
120,28.079466
121,28.352396
122,28.318398
123,28.439253
124,28.404522
125,28.294182
126,27.606672
127,27.134743
128,27.601337
129,27.603317
130,27.224106
131,27.648643
132,26.77652
133,27.615862
134,27.08158
135,26.659027
136,27.158892
137,27.243046
138,27.330956
139,27.167566
140,27.30301
141,27.34503
142,27.330956
143,27.201157
144,27.663864
145,27.552235
146,27.35272
147,26.920038
148,27.152813
149,27.063986
150,27.145367
151,27.111464
152,27.212025
153,26.739195
154,27.187315
155,27.162348
156,26.744497
157,26.514935
158,26.918802
159,27.11237
160,27.37448
161,27.30615
162,27.201292
163,27.288092
164,27.288092
165,27.36862
166,27.362717
167,27.313677
168,27.419495
169,27.252718
170,27.277386
171,27.37881
172,27.33711
173,27.27394
174,27.336588
175,27.366177
176,27.296064
177,27.512554
178,27.683495
179,27.105978
180,27.620316
181,27.860216
182,27.206787
183,27.176682
184,27.608263
185,27.379585
186,27.4771
187,27.600237
188,27.818094
189,27.821758
190,27.860216
191,27.632988
192,27.448427
193,27.18829
194,27.765007
195,27.79535
196,27.881786
197,27.859879
198,27.408136
199,27.227476
200,27.150972
201,27.39928
202,27.30869
203,27.155928
204,27.595938
205,27.500797
206,27.300684
207,27.204613
208,27.266977
209,27.29093
210,27.333195
211,27.291191
212,27.439867
213,27.465963
