,Predictions
0,29.719898
1,29.155924
2,26.30418
3,29.066841
4,29.715956
5,29.148787
6,27.308516
7,30.06617
8,26.887403
9,23.68049
10,26.796885
11,21.695555
12,27.938559
13,23.945728
14,27.86254
15,28.0629
16,27.359657
17,23.831663
18,29.257545
19,28.485771
20,29.509218
21,26.839106
22,28.718937
23,21.879255
24,23.466309
25,26.957647
26,29.328375
27,27.007544
28,23.62043
29,27.028425
30,24.275356
31,23.904139
32,26.824785
33,27.819433
34,28.338024
35,27.717789
36,22.806757
37,24.877064
38,26.596855
39,27.971802
40,29.641346
41,29.113289
42,26.304222
43,23.184734
44,28.960783
45,26.740658
46,29.081364
47,29.589247
48,29.209219
49,27.725931
50,21.089043
51,25.53205
52,26.908932
53,29.100481
54,20.928316
55,29.105793
56,26.259905
57,26.047163
58,28.395195
59,26.663294
60,27.45352
61,27.209734
62,25.123728
63,27.32865
64,28.218647
65,29.865847
66,28.36465
67,23.226704
68,29.112469
69,28.169361
70,27.171263
71,27.059679
72,24.425793
73,24.764742
74,28.78314
75,28.883297
76,30.101782
77,28.272337
78,29.718735
79,26.315722
80,29.458296
81,29.44029
82,28.97271
83,29.474197
84,27.830883
85,29.464756
86,23.181208
87,25.827763
88,30.217922
89,26.902748
90,24.00766
91,24.694891
92,29.585173
93,25.97691
94,28.184366
95,25.060272
96,29.876179
97,26.74786
98,23.367989
99,29.308512
100,26.360104
101,28.291473
102,25.695534
103,29.11154
104,29.652752
105,25.510145
106,29.664738
107,23.297596
108,24.331198
109,21.083515
110,27.013838
111,29.584175
112,29.785091
113,26.877825
114,29.076899
115,27.918762
116,28.109415
117,24.477629
118,27.265808
119,26.582134
120,27.361437
121,29.816763
122,26.480913
123,28.057407
124,21.570034
125,28.744123
126,29.751993
127,27.603764
128,29.53069
129,29.569822
130,25.008633
131,24.41856
132,26.244104
133,25.886677
134,27.157196
135,29.377228
136,25.637709
137,27.544794
138,29.475273
139,25.543121
140,29.529078
141,23.640114
142,26.388807
143,28.85272
144,25.932154
145,28.609894
146,25.082695
147,24.813656
148,28.106491
149,29.53251
150,27.050014
151,29.006021
152,29.492727
153,29.908308
154,26.220375
155,25.666094
156,29.332733
157,27.603247
158,25.693857
159,29.112385
160,29.587252
161,25.092234
162,29.071758
163,28.234785
164,26.033587
165,29.13808
166,28.81038
167,29.499882
168,27.279251
169,24.82097
170,26.979559
171,29.612993
172,28.530315
173,28.472591
174,29.637203
175,25.531935
176,28.891846
177,28.553001
178,29.52269
179,26.16342
180,27.449781
181,27.237764
182,27.192879
183,28.58639
184,29.005455
185,23.216633
186,26.502995
187,29.027897
188,25.965687
189,27.480782
190,28.621502
191,27.250502
192,25.730387
193,27.798319
194,29.400442
195,28.976181
196,29.737967
197,26.512514
198,29.494804
199,29.363869
200,28.942022
201,28.025372
202,22.275364
203,28.993315
204,25.505817
205,23.647633
206,26.949194
207,29.284716
208,25.998293
209,26.982424
210,28.693583
211,29.13772
212,28.054972
213,24.769146
214,29.279419
215,26.859943
216,28.981657
217,29.045343
218,24.057589
219,26.313772
220,29.197807
221,29.86644
222,26.564617
223,27.972168
224,28.718855
225,29.457506
226,26.332533
227,27.574316
228,27.002546
229,28.422083
230,25.149405
231,29.21924
232,24.27641
233,29.257162
234,28.247274
235,29.051298
236,28.50571
237,27.377737
238,25.815226
239,28.554916
240,29.005188
241,28.821297
242,27.922585
243,28.056208
244,24.548103
245,25.992725
246,27.841112
247,28.51969
248,29.380081
249,26.722944
250,28.636486
251,26.93271
252,29.136314
253,30.021534
254,27.156971
255,28.36536
256,29.028467
257,26.76632
258,28.943771
259,25.929058
260,21.699139
261,28.884802
262,26.56454
263,30.335707
264,29.446898
265,27.98154
266,28.002405
267,27.666868
268,28.140606
269,25.731974
270,27.380596
271,27.359833
272,26.548183
273,20.13522
274,23.96315
275,21.964502
276,28.136297
277,29.509195
278,26.58761
279,28.682919
280,24.057589
281,25.066433
282,27.857386
283,23.706884
284,27.400063
285,28.960783
286,29.088396
287,28.468323
288,27.01784
289,28.82135
290,28.443474
291,28.685457
292,27.856833
293,27.674717
294,26.484673
295,26.743418
296,28.593847
297,27.242216
298,20.874979
299,27.627167
300,29.510082
301,29.395746
302,29.728493
303,29.415598
304,24.533333
305,27.455832
306,29.662376
307,26.33056
308,29.811861
309,29.201097
310,25.859104
311,27.95798
312,24.507065
313,30.08273
314,28.973532
315,22.751362
316,20.65078
317,29.316982
318,28.873238
319,29.503086
320,29.22582
321,29.283506
322,19.287582
323,29.91448
